TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,3856,704,RuntimeBroker.,0x8f870bacc080,5,-,1,False,2024-08-30 22:43:24.000000 UTC,N/A,Disabled
0,3564,2940,firefox.exe,0x8f870ba7f080,0,-,1,True,2024-08-30 22:46:01.000000 UTC,2024-08-30 22:46:08.000000 UTC,Disabled
0,4588,940,firefox.exe,0x8f870b5ed080,65,-,1,True,2024-08-30 22:50:48.000000 UTC,N/A,Disabled
0,3508,4588,firefox.exe,0x8f871cc350c0,18,-,1,True,2024-08-30 22:50:49.000000 UTC,N/A,Disabled
0,3800,4588,firefox.exe,0x8f870b956080,5,-,1,True,2024-08-30 22:50:50.000000 UTC,N/A,Disabled
0,4020,4588,firefox.exe,0x8f870b5ea080,16,-,1,True,2024-08-30 22:50:52.000000 UTC,N/A,Disabled
0,1404,4588,firefox.exe,0x8f870bb21540,17,-,1,True,2024-08-30 22:50:53.000000 UTC,N/A,Disabled
0,3952,4588,firefox.exe,0x8f871a0df0c0,5,-,1,True,2024-08-30 22:50:54.000000 UTC,N/A,Disabled
0,3372,4588,firefox.exe,0x8f871ce130c0,5,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,Disabled
0,4668,4588,firefox.exe,0x8f8724c020c0,16,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,Disabled
0,4936,4588,firefox.exe,0x8f87189df0c0,18,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,Disabled
0,4788,4588,firefox.exe,0x8f871549b300,20,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,Disabled
0,5084,4588,updater.exe,0x8f870bcc40c0,0,-,1,True,2024-08-30 22:51:35.000000 UTC,2024-08-30 22:51:54.000000 UTC,Disabled
0,1084,4588,firefox.exe,0x8f8725fbd3c0,16,-,1,True,2024-08-30 22:53:55.000000 UTC,N/A,Disabled
0,4952,4588,firefox.exe,0x8f87189130c0,16,-,1,True,2024-08-30 22:53:59.000000 UTC,N/A,Disabled
0,4768,4588,firefox.exe,0x8f870a5f5080,16,-,1,True,2024-08-30 22:54:13.000000 UTC,N/A,Disabled
0,424,4588,firefox.exe,0x8f870adc5080,17,-,1,True,2024-08-30 22:54:13.000000 UTC,N/A,Disabled
0,856,4588,firefox.exe,0x8f870ba81080,16,-,1,True,2024-08-30 22:54:35.000000 UTC,N/A,Disabled
0,2160,4588,firefox.exe,0x8f870bcd7080,16,-,1,True,2024-08-30 22:54:39.000000 UTC,N/A,Disabled
0,4596,4588,firefox.exe,0x8f871359b0c0,17,-,1,True,2024-08-30 22:54:52.000000 UTC,N/A,Disabled
0,580,1344,taskhostw.exe,0x8f87189bd0c0,4,-,1,False,2024-08-30 22:55:12.000000 UTC,N/A,Disabled
0,5028,4588,firefox.exe,0x8f8719f680c0,5,-,1,True,2024-08-30 22:55:15.000000 UTC,N/A,Disabled
0,2496,580,rdrleakdiag.ex,0x8f87156ac0c0,1,-,1,True,2024-08-30 22:55:52.000000 UTC,N/A,Disabled
0,5212,4588,firefox.exe,0x8f870adbc080,13,-,1,True,2024-08-30 22:56:42.000000 UTC,N/A,Disabled
0,4872,4588,firefox.exe,0x8f8717b94300,12,-,1,True,2024-08-30 22:57:18.000000 UTC,N/A,Disabled
0,5988,4588,firefox.exe,0x8f870af64080,12,-,1,True,2024-08-30 23:00:11.000000 UTC,N/A,Disabled
0,5152,600,msiexec.exe,0x8f870be2f080,8,-,0,False,2024-08-30 23:21:51.000000 UTC,N/A,Disabled
0,88,5152,msiexec.exe,0x8f87250cb0c0,0,-,1,True,2024-08-30 23:21:52.000000 UTC,2024-08-30 23:22:16.000000 UTC,Disabled
0,2840,5412,FTK Imager.exe,0x8f870b148080,26,-,1,False,2024-08-30 23:22:15.000000 UTC,N/A,Disabled
0,3304,600,svchost.exe,0x8f870be74340,7,-,0,False,2024-08-30 23:22:22.000000 UTC,N/A,Disabled

