TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
3,3264,704,ShellExperienc,0x8f870b952080,20,-,1,False,2024-08-30 22:43:14.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe,-,-
3,2820,704,SppExtComObj.E,0x8f870b307080,1,-,0,False,2024-08-30 22:38:54.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\SppExtComObj.Exe,-,-
3,3856,704,RuntimeBroker.,0x8f870bacc080,5,-,1,False,2024-08-30 22:43:24.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,3444,704,RuntimeBroker.,0x8f870b963080,2,-,1,False,2024-08-30 22:43:16.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,3388,704,SearchUI.exe,0x8f870b9a0080,15,-,1,False,2024-08-30 22:43:15.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\SystemApps\\Microsoft.Windows.Cortana_cw5n1h2txyewy\\SearchUI.exe,-,-
3,3544,704,RuntimeBroker.,0x8f870ba19080,9,-,1,False,2024-08-30 22:43:17.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,2524,704,unsecapp.exe,0x8f870b175080,2,-,0,False,2024-08-30 22:38:45.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\wbem\\unsecapp.exe,C:\\Windows\\system32\\wbem\\unsecapp.exe -Embedding,C:\\Windows\\system32\\wbem\\unsecapp.exe
2,320,600,svchost.exe,0x8f870a5f72c0,28,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p,C:\\Windows\\system32\\svchost.exe
2,1344,600,svchost.exe,0x8f8706158080,40,-,0,False,2024-08-30 22:38:39.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p,C:\\Windows\\system32\\svchost.exe
3,1956,1344,taskhostw.exe,0x8f870a321080,7,-,1,False,2024-08-30 22:43:09.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},C:\\Windows\\system32\\taskhostw.exe
3,2772,1344,sihost.exe,0x8f870b4a4080,9,-,1,False,2024-08-30 22:43:09.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\sihost.exe,sihost.exe,C:\\Windows\\system32\\sihost.exe
3,580,1344,taskhostw.exe,0x8f87189bd0c0,4,-,1,False,2024-08-30 22:55:12.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\taskhostw.exe,taskhostw.exe,C:\\Windows\\system32\\taskhostw.exe
4,2496,580,rdrleakdiag.ex,0x8f87156ac0c0,1,-,1,True,2024-08-30 22:55:52.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\SysWOW64\\rdrleakdiag.exe,-,-
2,2116,600,splunkd.exe,0x8f870af63080,52,-,0,False,2024-08-30 22:38:41.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files\\SplunkUniversalForwarder\\bin\\splunkd.exe,"""C:\\Program Files\\SplunkUniversalForwarder\\bin\\splunkd.exe"" service",C:\\Program Files\\SplunkUniversalForwarder\\bin\\splunkd.exe
3,2656,2116,conhost.exe,0x8f8706335080,4,-,0,False,2024-08-30 22:38:45.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\conhost.exe,-,-
2,972,600,svchost.exe,0x8f870a3cb280,21,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p,C:\\Windows\\system32\\svchost.exe
2,1872,600,svchost.exe,0x8f870af2b280,10,-,0,False,2024-08-30 22:38:41.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p,C:\\Windows\\System32\\svchost.exe
2,2896,600,svchost.exe,0x8f870633e080,11,-,0,False,2024-08-30 22:38:54.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p,C:\\Windows\\system32\\svchost.exe
2,348,600,svchost.exe,0x8f870a31e080,17,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,2144,600,wlms.exe,0x8f870b00a080,2,-,0,False,2024-08-30 22:38:41.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\wlms\\wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe
2,2276,600,sppsvc.exe,0x8f870b042080,3,-,0,False,2024-08-30 22:38:42.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe
2,356,600,svchost.exe,0x8f870b4b2080,1,-,0,False,2024-08-30 22:40:50.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k wusvcs -p,C:\\Windows\\system32\\svchost.exe
2,2152,600,Sysmon64.exe,0x8f870b008080,13,-,0,False,2024-08-30 22:38:41.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\Sysmon64.exe,C:\\Windows\\Sysmon64.exe,C:\\Windows\\Sysmon64.exe
2,3304,600,svchost.exe,0x8f870be74340,7,-,0,False,2024-08-30 23:22:22.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k wsappx -p,C:\\Windows\\system32\\svchost.exe
2,1516,600,svchost.exe,0x8f870ae18080,5,-,1,False,2024-08-30 22:43:09.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,C:\\Windows\\system32\\svchost.exe
2,1008,600,svchost.exe,0x8f870a352280,27,-,0,False,2024-08-30 22:38:37.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k termsvcs,C:\\Windows\\System32\\svchost.exe
2,1020,600,svchost.exe,0x8f870a35a280,9,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p,C:\\Windows\\system32\\svchost.exe
1,724,496,fontdrvhost.ex,0x8f8709b5d080,5,-,0,False,2024-08-30 22:38:37.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
1,608,496,lsass.exe,0x8f870a468080,14,-,0,False,2024-08-30 22:38:36.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
0,536,472,winlogon.exe,0x8f8706ccd0c0,6,-,1,False,2024-08-30 22:38:36.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\winlogon.exe,winlogon.exe,C:\\Windows\\system32\\winlogon.exe
1,884,536,dwm.exe,0x8f870a5b8080,14,-,1,False,2024-08-30 22:38:37.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\dwm.exe,"""dwm.exe""",C:\\Windows\\system32\\dwm.exe
1,732,536,fontdrvhost.ex,0x8f870a4dc080,5,-,1,False,2024-08-30 22:38:37.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\fontdrvhost.exe,-,-
1,1356,536,userinit.exe,0x8f870af11080,0,-,1,False,2024-08-30 22:43:11.000000 UTC,2024-08-30 22:43:34.000000 UTC,\\Device\\HarddiskVolume1\\Windows\\System32\\userinit.exe,-,-
2,2788,1356,explorer.exe,0x8f87062ad080,64,-,1,False,2024-08-30 22:43:11.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\explorer.exe,C:\\Windows\\Explorer.EXE,C:\\Windows\\Explorer.EXE
0,3564,2940,firefox.exe,0x8f870ba7f080,0,-,1,True,2024-08-30 22:46:01.000000 UTC,2024-08-30 22:46:08.000000 UTC,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,-,-
0,4588,940,firefox.exe,0x8f870b5ed080,65,-,1,True,2024-08-30 22:50:48.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe""",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,4872,4588,firefox.exe,0x8f8717b94300,12,-,1,True,2024-08-30 22:57:18.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=7352 -childID 24 -isForBrowser -prefsHandle 9560 -prefMapHandle 7288 -prefsLen 33666 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {38cd0cca-a127-49c4-b516-50c74f91c3b1} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,4768,4588,firefox.exe,0x8f870a5f5080,16,-,1,True,2024-08-30 22:54:13.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=2932 -childID 10 -isForBrowser -prefsHandle 6684 -prefMapHandle 6728 -prefsLen 33570 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {e2654c81-b6c2-40cd-9f06-ed33002e9db3} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,5028,4588,firefox.exe,0x8f8719f680c0,5,-,1,True,2024-08-30 22:55:15.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=8108 -parentBuildID 20240606181944 -sandboxingKind 1 -prefsHandle 6916 -prefMapHandle 7664 -prefsLen 39342 -prefMapSize 251350 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {5643f1c3-218e-4160-befc-9fde81a734cd} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" utility",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,424,4588,firefox.exe,0x8f870adc5080,17,-,1,True,2024-08-30 22:54:13.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=6872 -childID 11 -isForBrowser -prefsHandle 6880 -prefMapHandle 6884 -prefsLen 33570 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {c2f98f44-799a-48b9-8fb7-ef7a36740178} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,3372,4588,firefox.exe,0x8f871ce130c0,5,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=5440 -parentBuildID 20240606181944 -prefsHandle 5420 -prefMapHandle 5412 -prefsLen 32840 -prefMapSize 251350 -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {a830fda3-3328-45fa-be7b-61a7c3f67190} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" rdd",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,4020,4588,firefox.exe,0x8f870b5ea080,16,-,1,True,2024-08-30 22:50:52.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=3064 -childID 2 -isForBrowser -prefsHandle 3080 -prefMapHandle 2896 -prefsLen 26740 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {6e98140c-d244-4a8a-8a02-9c03f2cb5c13} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,3508,4588,firefox.exe,0x8f871cc350c0,18,-,1,True,2024-08-30 22:50:49.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=1740 -parentBuildID 20240606181944 -prefsHandle 1656 -prefMapHandle 1312 -prefsLen 26176 -prefMapSize 251350 -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {c2d84bd5-f9ae-40f3-a50f-3428d953e879} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" gpu",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,4788,4588,firefox.exe,0x8f871549b300,20,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=6020 -childID 7 -isForBrowser -prefsHandle 6028 -prefMapHandle 6032 -prefsLen 29018 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {3b184622-85e3-4709-972f-b330690d0c3c} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,1084,4588,firefox.exe,0x8f8725fbd3c0,16,-,1,True,2024-08-30 22:53:55.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=2804 -childID 8 -isForBrowser -prefsHandle 5108 -prefMapHandle 4380 -prefsLen 33491 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {22b5408a-0404-4132-8f3c-c3a054c29d8a} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
1,4668,4588,firefox.exe,0x8f8724c020c0,16,-,1,True,2024-08-30 22:50:56.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Program Files (x86)\\Mozilla Firefox\\firefox.exe,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -contentproc --channel=5636 -childID 5 -isForBrowser -prefsHandle 5136 -prefMapHandle 5628 -prefsLen 28669 -prefMapSize 251350 -jsInitHandle 1320 -jsInitLen 234488 -parentBuildID 20240606181944 -win32kLockedDown -appDir ""C:\\Program Files (x86)\\Mozilla Firefox\\browser"" - {2ed79622-a491-4659-b324-147999dd645b} 4588 ""\\\\.\\pipe\\gecko-crash-server-pipe.4588"" tab",C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe
