TreeDepth,Offset,Name
0,0x8f8706d90500,\\Windows\\System32\\drivers\\HyperVideo.sys
0,0x8f8706d911f0,\\Windows\\System32\\drivers\\hyperkbd.sys
0,0x8f8706d917b0,\\Windows\\System32\\drivers\\fdc.sys
0,0x8f8706d91d70,\\Windows\\System32\\drivers\\hidclass.sys
0,0x8f8706d91ee0,\\Windows\\System32\\drivers\\VMBusHID.sys
0,0x8f8706d921c0,\\Windows\\System32\\drivers\\dmvsc.sys
0,0x8f8706d92d40,\\Windows\\System32\\drivers\\serenum.sys
0,0x8f8706d93190,\\Windows\\System32\\drivers\\vms3cap.sys
0,0x8f8706d93470,\\Windows\\System32\\drivers\\netvsc.sys
0,0x8f8706d93750,\\Windows\\System32\\drivers\\flpydisk.sys
0,0x8f8706d980c0,\\Windows\\System32\\wow64cpu.dll
0,0x8f8706d983e0,\\Windows\\System32\\combase.dll
0,0x8f8706d98bb0,\\Windows\\System32\\imm32.dll
0,0x8f8706d98d40,\\Windows\\System32\\coml2.dll
0,0x8f8706d991f0,\\Windows\\System32\\user32.dll
0,0x8f8706d996a0,\\Windows\\System32\\imagehlp.dll
0,0x8f8706d99830,\\Windows\\System32\\setupapi.dll
0,0x8f8706d999c0,\\Windows\\System32\\advapi32.dll
0,0x8f8706d99ce0,\\Windows\\System32\\gdi32.dll
0,0x8f8706dd30b0,\\Windows\\System32\\DriverStore\\FileRepository\\swenum.inf_amd64_31f554b660026323\\swenum.sys
0,0x8f8706dd3670,\\Windows\\System32\\drivers\\NdisVirtualBus.sys
0,0x8f8706dd51c0,\\Windows\\System32\\drivers\\intelppm.sys
0,0x8f8706dd54a0,\\Windows\\System32\\drivers\\vmgencounter.sys
0,0x8f8706dd58f0,\\Windows\\System32\\drivers\\ks.sys
0,0x8f8706dd5a60,\\Windows\\System32\\drivers\\rdpbus.sys
0,0x8f8706dd6190,\\Windows\\System32\\drivers\\mouhid.sys
0,0x8f8706ddc0c0,\\Windows\\System32\\difxapi.dll
0,0x8f8706ddc250,\\Windows\\System32\\msvcrt.dll
0,0x8f8706ddc700,\\Windows\\System32\\sechost.dll
0,0x8f8706ddc890,\\Windows\\System32\\kernel32.dll
0,0x8f8706ddcbb0,\\Windows\\System32\\nsi.dll
0,0x8f8706ddcd40,\\Windows\\System32\\clbcatq.dll
0,0x8f8706ddced0,\\Windows\\System32\\comdlg32.dll
0,0x8f8706ddd380,\\Windows\\System32\\shlwapi.dll
0,0x8f8706ddd6a0,\\Windows\\System32\\normaliz.dll
0,0x8f8706ddd830,\\Windows\\System32\\ws2_32.dll
0,0x8f8706ddd9c0,\\Windows\\System32\\SHCore.dll
0,0x8f8706dddb50,\\Windows\\System32\\rpcrt4.dll
0,0x8f8706ddde70,\\Windows\\System32\\oleaut32.dll
0,0x8f8706e830c0,\\Windows\\System32\\cfgmgr32.dll
0,0x8f8706e83570,\\Windows\\System32\\shell32.dll
0,0x8f8706e83890,\\Windows\\System32\\win32u.dll
0,0x8f8706e83a20,\\Windows\\System32\\ucrtbase.dll
0,0x8f8706e83bb0,\\Windows\\System32\\wintrust.dll
0,0x8f8706e83d40,\\Windows\\System32\\comctl32.dll
0,0x8f8706e83ed0,\\Windows\\System32\\Wldap32.dll
0,0x8f8706e841f0,\\Windows\\System32\\GdiPlus.dll
0,0x8f8706e84380,\\Windows\\System32\\wow64win.dll
0,0x8f8706e84830,\\Windows\\System32\\msctf.dll
0,0x8f8706e849c0,\\Windows\\System32\\wow64.dll
0,0x8f8706e84b50,\\Windows\\System32\\psapi.dll
0,0x8f8706e84ce0,\\Windows\\System32\\ole32.dll
0,0x8f8706e84e70,\\Windows\\System32\\bcryptprimitives.dll
0,0x8f8709b6c0c0,\\Windows\\System32\\windows.storage.dll
0,0x8f8709b6c250,\\Windows\\System32\\cryptsp.dll
0,0x8f8709b6c3e0,\\Windows\\System32\\powrprof.dll
0,0x8f8709b6c570,\\Windows\\SysWOW64\\comctl32.dll
0,0x8f8709b6c700,\\Windows\\System32\\bcrypt.dll
0,0x8f8709b6c890,\\Windows\\System32\\msasn1.dll
0,0x8f8709b6ca20,\\Windows\\SysWOW64\\msasn1.dll
0,0x8f8709b6cbb0,\\Windows\\SysWOW64\\rpcrt4.dll
0,0x8f8709b6cd40,\\Windows\\System32\\msvcp_win.dll
0,0x8f8709b6ced0,\\Windows\\SysWOW64\\combase.dll
0,0x8f8709b6d1f0,\\Windows\\System32\\kernel.appcore.dll
0,0x8f8709b6d380,\\Windows\\System32\\KernelBase.dll
0,0x8f8709b6d510,\\Windows\\SysWOW64\\advapi32.dll
0,0x8f8709b6d830,\\Windows\\System32\\gdi32full.dll
0,0x8f8709b6d9c0,\\Windows\\System32\\crypt32.dll
0,0x8f8709b6db50,\\Windows\\System32\\profapi.dll
0,0x8f8709b6dce0,\\Windows\\SysWOW64\\kernel32.dll
0,0x8f8709b6de70,\\Windows\\SysWOW64\\win32u.dll
0,0x8f8709b810c0,\\Windows\\SysWOW64\\difxapi.dll
0,0x8f8709b81250,\\Windows\\SysWOW64\\wintrust.dll
0,0x8f8709b813e0,\\Windows\\SysWOW64\\gdi32full.dll
0,0x8f8709b81570,\\Windows\\SysWOW64\\profapi.dll
0,0x8f8709b81700,\\Windows\\SysWOW64\\crypt32.dll
0,0x8f8709b81890,\\Windows\\SysWOW64\\powrprof.dll
0,0x8f8709b81a20,\\Windows\\SysWOW64\\clbcatq.dll
0,0x8f8709b81bb0,\\Windows\\SysWOW64\\cryptsp.dll
0,0x8f8709b81d40,\\Windows\\SysWOW64\\kernel.appcore.dll
0,0x8f8709b81ed0,\\Windows\\SysWOW64\\comdlg32.dll
0,0x8f8709b821f0,\\Windows\\SysWOW64\\msctf.dll
0,0x8f8709b82380,\\Windows\\SysWOW64\\gdi32.dll
0,0x8f8709b82510,\\Windows\\SysWOW64\\psapi.dll
0,0x8f8709b826a0,\\Windows\\SysWOW64\\imm32.dll
0,0x8f8709b82830,\\Windows\\SysWOW64\\windows.storage.dll
0,0x8f8709b829c0,\\Windows\\SysWOW64\\nsi.dll
0,0x8f8709b82b50,\\Windows\\SysWOW64\\KernelBase.dll
0,0x8f8709b82ce0,\\Windows\\SysWOW64\\oleaut32.dll
0,0x8f8709b82e70,\\Windows\\SysWOW64\\ole32.dll
0,0x8f8709b870d0,\\Windows\\SysWOW64\\coml2.dll
0,0x8f8709b87260,\\ProtectedPrefix\\Administrators
0,0x8f8709b873f0,\\ProtectedPrefix\\Administrators
0,0x8f8709b87580,\\Windows\\SysWOW64\\ws2_32.dll
0,0x8f8709b87710,\\Windows\\SysWOW64\\setupapi.dll
0,0x8f8709b878a0,\\ProtectedPrefix\\LocalService
0,0x8f8709b87a30,\\ProtectedPrefix\\LocalService
0,0x8f8709b87bc0,\\Windows\\SysWOW64\\ucrtbase.dll
0,0x8f8709b87d50,\\Windows\\SysWOW64\\sechost.dll
0,0x8f8709b87ee0,\\Windows\\SysWOW64\\cryptbase.dll
0,0x8f8709b88200,\\Windows\\SysWOW64\\normaliz.dll
0,0x8f8709b88390,\\Windows\\SysWOW64\\shlwapi.dll
0,0x8f8709b88520,\\Windows\\SysWOW64\\bcryptprimitives.dll
0,0x8f8709b886b0,\\Windows\\SysWOW64\\Wldap32.dll
0,0x8f8709b88840,\\ProtectedPrefix
0,0x8f8709b889d0,\\ProtectedPrefix\\NetWorkService
0,0x8f8709b88b60,\\ProtectedPrefix\\NetWorkService
0,0x8f8709b88cf0,\\Windows\\System32\\en-US\\user32.dll.mui
0,0x8f8709b88e80,\\Windows\\SysWOW64\\bcrypt.dll
0,0x8f8709b891a0,\\Windows\\SysWOW64\\shell32.dll
0,0x8f8709b89330,\\Windows\\SysWOW64\\msvcrt.dll
