Volatility 3 Framework 2.28.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date
PsList	Process: 3800 firefox.exe (157810177695872)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4020 firefox.exe (157810174107776)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 1404 firefox.exe (157810179577152)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 3952 firefox.exe (157810420478144)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 3372 firefox.exe (157810467877056)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4668 firefox.exe (157810599928000)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4936 firefox.exe (157810396360896)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4788 firefox.exe (157810340508416)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 5084 updater.exe (157810181292224)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 1084 firefox.exe (157810620617664)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4952 firefox.exe (157810395525312)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4768 firefox.exe (157810157375616)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 424 firefox.exe (157810165567616)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 856 firefox.exe (157810178920576)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 2160 firefox.exe (157810181369984)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4596 firefox.exe (157810308001984)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 580 taskhostw.exe (157810396221632)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 5028 firefox.exe (157810418942144)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 2496 rdrleakdiag.ex (157810342674624)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 5212 firefox.exe (157810165530752)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 4872 firefox.exe (157810381374208)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 5988 firefox.exe (157810167267456)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 5152 msiexec.exe (157810182779008)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 88 msiexec.exe (157810604945600)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 2840 FTK Imager.exe (157810169249920)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 3304 svchost.exe (157810183062336)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4 System (157810084429952)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1344 svchost.exe (157810085429376)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1320 msdtc.exe (157810085671040)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 68 Registry (157810085773440)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1172 svchost.exe (157810085949568)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2788 explorer.exe (157810086826112)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2656 conhost.exe (157810087383168)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2896 svchost.exe (157810087420032)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 404 csrss.exe (157810093047936)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 536 winlogon.exe (157810097443008)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 296 smss.exe (157810098046720)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 724 fontdrvhost.ex (157810146267264)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 348 svchost.exe (157810154397824)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1956 taskhostw.exe (157810154410112)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1008 svchost.exe (157810154611328)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1020 svchost.exe (157810154644096)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 428 svchost.exe (157810154824320)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 792 svchost.exe (157810155065856)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 972 svchost.exe (157810155106944)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
